# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Wed Apr  5 03:55:19 2023
#
# RECIPROCITY
#
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information
# necessary for other scientists to repeat the work and to run
# modified versions. Model availability includes collaborative
# support for new users of the models.
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
# Data from March 1958 through April 1974 have been obtained by C. David Keeling
# of the Scripps Institution of Oceanography (SIO) and were obtained from the
# Scripps website (scrippsco2.ucsd.edu).
# Monthly mean CO2 constructed from daily mean values.
# Scripps data downloaded from http://scrippsco2.ucsd.edu/data/atmospheric_co2
# Monthly values are corrected to center of month based on average seasonal
# cycle. Missing days can be asymmetric which would produce a high or low bias.
# Missing months have been interpolated, for NOAA data indicated by negative stdev
# and uncertainty. We have no information for SIO data about Ndays, stdv, unc
# so that they are also indicated by negative numbers
#
# NOTE: Due to the eruption of the Mauna Loa Volcano, measurements from Mauna Loa Observatory
# were suspended as of Nov. 29, 2022. Observations starting in December 2022 are from a site
# at the Maunakea Observatories, approximately 21 miles north of the Mauna Loa Observatory.
#
year,month,decimal date,average,deseasonalized,ndays,sdev,unc
2010,1,2010.0417,388.91,388.62,30,0.92,0.32
2010,2,2010.1250,390.41,389.47,20,1.31,0.56
2010,3,2010.2083,391.37,389.85,25,1.05,0.40
2010,4,2010.2917,392.67,390.12,26,0.65,0.24
2010,5,2010.3750,393.21,390.09,29,0.65,0.23
2010,6,2010.4583,392.38,390.10,28,0.42,0.15
2010,7,2010.5417,390.41,389.93,29,0.47,0.17
2010,8,2010.6250,388.54,390.21,26,0.41,0.16
2010,9,2010.7083,387.03,390.32,29,0.55,0.19
2010,10,2010.7917,387.43,390.72,31,0.27,0.09
2010,11,2010.8750,388.87,390.99,29,0.42,0.15
2010,12,2010.9583,389.99,390.80,29,0.47,0.17
2011,1,2011.0417,391.50,391.19,29,0.88,0.31
2011,2,2011.1250,392.05,391.12,28,0.47,0.17
2011,3,2011.2083,392.80,391.27,29,0.97,0.35
2011,4,2011.2917,393.44,390.83,28,0.73,0.26
2011,5,2011.3750,394.41,391.24,29,0.93,0.33
2011,6,2011.4583,393.95,391.64,28,0.45,0.16
2011,7,2011.5417,392.72,392.25,26,0.71,0.26
2011,8,2011.6250,390.33,392.04,27,0.42,0.15
2011,9,2011.7083,389.28,392.60,26,0.31,0.12
2011,10,2011.7917,389.19,392.53,30,0.17,0.06
2011,11,2011.8750,390.48,392.64,28,0.26,0.10
2011,12,2011.9583,392.06,392.86,26,0.37,0.14
2012,1,2012.0417,393.31,393.07,30,0.77,0.27
2012,2,2012.1250,394.04,393.20,26,1.19,0.45
2012,3,2012.2083,394.59,392.99,30,0.63,0.22
2012,4,2012.2917,396.38,393.65,29,0.59,0.21
2012,5,2012.3750,396.93,393.73,30,0.50,0.17
2012,6,2012.4583,395.91,393.63,28,0.59,0.21
2012,7,2012.5417,394.56,394.12,26,0.30,0.11
2012,8,2012.6250,392.59,394.37,30,0.52,0.18
2012,9,2012.7083,391.32,394.74,26,0.42,0.16
2012,10,2012.7917,391.27,394.64,28,0.23,0.08
2012,11,2012.8750,393.20,395.25,29,0.53,0.19
2012,12,2012.9583,394.57,395.27,29,0.44,0.16
2013,1,2013.0417,395.78,395.62,28,0.60,0.22
2013,2,2013.1250,397.03,396.23,25,0.57,0.22
2013,3,2013.2083,397.66,396.07,30,0.71,0.25
2013,4,2013.2917,398.64,395.79,22,0.59,0.24
2013,5,2013.3750,400.02,396.64,28,0.37,0.13
2013,6,2013.4583,398.81,396.48,26,0.43,0.16
2013,7,2013.5417,397.51,397.12,21,0.52,0.22
2013,8,2013.6250,395.39,397.27,27,0.45,0.16
2013,9,2013.7083,393.72,397.24,26,0.35,0.13
2013,10,2013.7917,393.90,397.25,28,0.16,0.06
2013,11,2013.8750,395.36,397.35,30,0.60,0.21
2013,12,2013.9583,397.03,397.78,30,0.48,0.17
2014,1,2014.0417,398.04,397.74,31,0.49,0.17
2014,2,2014.1250,398.27,397.45,27,0.51,0.19
2014,3,2014.2083,399.91,398.37,22,0.84,0.34
2014,4,2014.2917,401.51,398.63,26,0.50,0.19
2014,5,2014.3750,401.96,398.56,22,0.51,0.21
2014,6,2014.4583,401.43,399.10,28,0.36,0.13
2014,7,2014.5417,399.27,398.85,25,0.55,0.21
2014,8,2014.6250,397.18,399.07,22,0.28,0.12
