open,high,low,close,date
1268.80,1268.80,1268.80,1268.80,"Jan 3, 2006"
1273.46,1273.46,1273.46,1273.46,"Jan 4, 2006"
1273.48,1273.48,1273.48,1273.48,"Jan 5, 2006"
1285.45,1285.45,1285.45,1285.45,"Jan 6, 2006"
1290.15,1290.15,1290.15,1290.15,"Jan 9, 2006"
1289.69,1289.69,1289.69,1289.69,"Jan 10, 2006"
1294.18,1294.18,1294.18,1294.18,"Jan 11, 2006"
1286.06,1286.06,1286.06,1286.06,"Jan 12, 2006"
1287.61,1287.61,1287.61,1287.61,"Jan 13, 2006"
1282.93,1282.93,1282.93,1282.93,"Jan 17, 2006"
1277.93,1277.93,1277.93,1277.93,"Jan 18, 2006"
1285.04,1285.04,1285.04,1285.04,"Jan 19, 2006"
1261.49,1261.49,1261.49,1261.49,"Jan 20, 2006"
1263.82,1263.82,1263.82,1263.82,"Jan 23, 2006"
1266.86,1266.86,1266.86,1266.86,"Jan 24, 2006"
1264.68,1264.68,1264.68,1264.68,"Jan 25, 2006"
1273.83,1273.83,1273.83,1273.83,"Jan 26, 2006"
1283.72,1283.72,1283.72,1283.72,"Jan 27, 2006"
1285.20,1285.20,1285.20,1285.20,"Jan 30, 2006"
1280.08,1280.08,1280.08,1280.08,"Jan 31, 2006"
1282.46,1282.46,1282.46,1282.46,"Feb 1, 2006"
1270.84,1270.84,1270.84,1270.84,"Feb 2, 2006"
1264.03,1264.03,1264.03,1264.03,"Feb 3, 2006"
1265.02,1265.02,1265.02,1265.02,"Feb 6, 2006"
1254.78,1254.78,1254.78,1254.78,"Feb 7, 2006"
1265.65,1265.65,1265.65,1265.65,"Feb 8, 2006"
1263.78,1263.78,1263.78,1263.78,"Feb 9, 2006"
1266.99,1266.99,1266.99,1266.99,"Feb 10, 2006"
1262.86,1262.86,1262.86,1262.86,"Feb 13, 2006"
1275.53,1275.53,1275.53,1275.53,"Feb 14, 2006"
1280.00,1280.00,1280.00,1280.00,"Feb 15, 2006"
1289.38,1289.38,1289.38,1289.38,"Feb 16, 2006"
1287.24,1287.24,1287.24,1287.24,"Feb 17, 2006"
1283.03,1283.03,1283.03,1283.03,"Feb 21, 2006"
1292.67,1292.67,1292.67,1292.67,"Feb 22, 2006"
1287.79,1287.79,1287.79,1287.79,"Feb 23, 2006"
1289.43,1289.43,1289.43,1289.43,"Feb 24, 2006"
1294.12,1294.12,1294.12,1294.12,"Feb 27, 2006"
1280.66,1280.66,1280.66,1280.66,"Feb 28, 2006"
1291.24,1291.24,1291.24,1291.24,"Mar 1, 2006"
1289.14,1289.14,1289.14,1289.14,"Mar 2, 2006"
1287.23,1287.23,1287.23,1287.23,"Mar 3, 2006"
1278.26,1278.26,1278.26,1278.26,"Mar 6, 2006"
1275.88,1275.88,1275.88,1275.88,"Mar 7, 2006"
1278.47,1278.47,1278.47,1278.47,"Mar 8, 2006"
1272.23,1272.23,1272.23,1272.23,"Mar 9, 2006"
1281.58,1281.58,1281.58,1281.58,"Mar 10, 2006"
1284.13,1284.13,1284.13,1284.13,"Mar 13, 2006"
1297.48,1297.48,1297.48,1297.48,"Mar 14, 2006"
1303.02,1303.02,1303.02,1303.02,"Mar 15, 2006"
1305.33,1305.33,1305.33,1305.33,"Mar 16, 2006"
1307.25,1307.25,1307.25,1307.25,"Mar 17, 2006"
1305.08,1305.08,1305.08,1305.08,"Mar 20, 2006"
1297.23,1297.23,1297.23,1297.23,"Mar 21, 2006"
1305.04,1305.04,1305.04,1305.04,"Mar 22, 2006"
1301.67,1301.67,1301.67,1301.67,"Mar 23, 2006"
1302.95,1302.95,1302.95,1302.95,"Mar 24, 2006"
1301.61,1301.61,1301.61,1301.61,"Mar 27, 2006"
1293.23,1293.23,1293.23,1293.23,"Mar 28, 2006"
1302.89,1302.89,1302.89,1302.89,"Mar 29, 2006"
1300.25,1300.25,1300.25,1300.25,"Mar 30, 2006"
1294.83,1294.83,1294.83,1294.83,"Mar 31, 2006"
1297.81,1297.81,1297.81,1297.81,"Apr 3, 2006"
1305.93,1305.93,1305.93,1305.93,"Apr 4, 2006"
1311.56,1311.56,1311.56,1311.56,"Apr 5, 2006"
1309.04,1309.04,1309.04,1309.04,"Apr 6, 2006"
1295.50,1295.50,1295.50,1295.50,"Apr 7, 2006"
1296.60,1296.60,1296.60,1296.60,"Apr 10, 2006"
1286.57,1286.57,1286.57,1286.57,"Apr 11, 2006"
1288.12,1288.12,1288.12,1288.12,"Apr 12, 2006"
1289.12,1289.12,1289.12,1289.12,"Apr 13, 2006"
1285.33,1285.33,1285.33,1285.33,"Apr 17, 2006"
1307.65,1307.65,1307.65,1307.65,"Apr 18, 2006"
1309.93,1309.93,1309.93,1309.93,"Apr 19, 2006"
1311.46,1311.46,1311.46,1311.46,"Apr 20, 2006"
1311.28,1311.28,1311.28,1311.28,"Apr 21, 2006"
1308.11,1308.11,1308.11,1308.11,"Apr 24, 2006"
1301.74,1301.74,1301.74,1301.74,"Apr 25, 2006"
1305.41,1305.41,1305.41,1305.41,"Apr 26, 2006"
1309.72,1309.72,1309.72,1309.72,"Apr 27, 2006"
1310.61,1310.61,1310.61,1310.61,"Apr 28, 2006"
1305.19,1305.19,1305.19,1305.19,"May 1, 2006"
1313.21,1313.21,1313.21,1313.21,"May 2, 2006"
1307.85,1307.85,1307.85,1307.85,"May 3, 2006"
1312.25,1312.25,1312.25,1312.25,"May 4, 2006"
1325.76,1325.76,1325.76,1325.76,"May 5, 2006"
1324.66,1324.66,1324.66,1324.66,"May 8, 2006"
1325.14,1325.14,1325.14,1325.14,"May 9, 2006"
1322.85,1322.85,1322.85,1322.85,"May 10, 2006"
1305.92,1305.92,1305.92,1305.92,"May 11, 2006"
1291.24,1291.24,1291.24,1291.24,"May 12, 2006"
1294.50,1294.50,1294.50,1294.50,"May 15, 2006"
1292.08,1292.08,1292.08,1292.08,"May 16, 2006"
1270.32,1270.32,1270.32,1270.32,"May 17, 2006"
1261.81,1261.81,1261.81,1261.81,"May 18, 2006"
1267.03,1267.03,1267.03,1267.03,"May 19, 2006"
1262.07,1262.07,1262.07,1262.07,"May 22, 2006"
1256.58,1256.58,1256.58,1256.58,"May 23, 2006"
1258.57,1264.53,1245.34,1258.57,"May 24, 2006"
1272.88,1273.26,1260.55,1272.88,"May 25, 2006"
1280.16,1280.54,1272.50,1280.16,"May 26, 2006"
1259.84,1279.24,1259.84,1259.84,"May 30, 2006"
