# name: clipboard data
# source: undefined
# importDate: 2023-05-04T23:48:01.858Z
# description: undefined
# attribute -- name: DATE, type: date, editable: true
# attribute -- name: NAME, editable: true
# attribute -- name: PRCP, type: numeric, unit: mm, editable: true
# attribute -- name: TMAX, type: numeric, unit: °C x 10, editable: true
# attribute -- name: TMIN, type: numeric, unit: °C x 10, editable: true
# attribute -- name: TAVG, type: numeric, unit: °C x 10, editable: true
DATE,NAME,PRCP,TMAX,TMIN,TAVG
2023-04-01,"PARIS MONTSOURIS, FR",48,155,101,116
2023-04-02,"PARIS MONTSOURIS, FR",25,107,,82
2023-04-03,"PARIS MONTSOURIS, FR",0,129,54,86
2023-04-04,"PARIS MONTSOURIS, FR",0,131,28,78
2023-04-05,"PARIS MONTSOURIS, FR",0,166,35,98
2023-04-06,"PARIS MONTSOURIS, FR",0,160,91,117
2023-04-07,"PARIS MONTSOURIS, FR",5,150,74,106
2023-04-08,"PARIS MONTSOURIS, FR",0,162,52,102
2023-04-09,"PARIS MONTSOURIS, FR",0,190,64,127
2023-04-10,"PARIS MONTSOURIS, FR",0,172,96,127
2023-04-11,"PARIS MONTSOURIS, FR",58,,83,106
2023-04-12,"PARIS MONTSOURIS, FR",147,145,68,98
2023-04-13,"PARIS MONTSOURIS, FR",30,143,64,96
2023-04-14,"PARIS MONTSOURIS, FR",3,117,46,75
2023-04-15,"PARIS MONTSOURIS, FR",130,146,82,104
2023-04-16,"PARIS MONTSOURIS, FR",8,166,54,110
2023-04-17,"PARIS MONTSOURIS, FR",0,141,69,98
2023-04-18,"PARIS MONTSOURIS, FR",0,172,75,118
2023-04-19,"PARIS MONTSOURIS, FR",3,198,90,140
2023-04-20,"PARIS MONTSOURIS, FR",0,152,,94
2023-04-21,"PARIS MONTSOURIS, FR",0,154,46,96
2023-04-22,"PARIS MONTSOURIS, FR",41,175,83,121
2023-04-23,"PARIS MONTSOURIS, FR",41,164,85,113
2023-04-24,"PARIS MONTSOURIS, FR",64,151,81,107
2023-04-25,"PARIS MONTSOURIS, FR",18,125,,91
2023-04-26,"PARIS MONTSOURIS, FR",0,145,62,107
2023-04-27,"PARIS MONTSOURIS, FR",3,191,101,148
2023-04-28,"PARIS MONTSOURIS, FR",84,229,,173
2023-04-29,"PARIS MONTSOURIS, FR",0,196,,127
2023-04-30,"PARIS MONTSOURIS, FR",0,198,89,139
