Date	CPI
Mar 1, 2023	301.84
Feb 1, 2023	300.84
Jan 1, 2023	299.17
Dec 1, 2022	296.80
Nov 1, 2022	297.71
Oct 1, 2022	298.01
Sep 1, 2022	296.81
Aug 1, 2022	296.17
Jul 1, 2022	296.28
Jun 1, 2022	296.31
May 1, 2022	292.30
Apr 1, 2022	289.11
Mar 1, 2022	287.50
Feb 1, 2022	283.72
Jan 1, 2022	281.15
Dec 1, 2021	278.80
Nov 1, 2021	277.95
Oct 1, 2021	276.59
Sep 1, 2021	274.31
Aug 1, 2021	273.57
Jul 1, 2021	273.00
Jun 1, 2021	271.70
May 1, 2021	269.20
Apr 1, 2021	267.05
Mar 1, 2021	264.88
Feb 1, 2021	263.01
Jan 1, 2021	261.58
Dec 1, 2020	260.47
Nov 1, 2020	260.23
Oct 1, 2020	260.39
Sep 1, 2020	260.28
Aug 1, 2020	259.92
Jul 1, 2020	259.10
Jun 1, 2020	257.80
May 1, 2020	256.39
Apr 1, 2020	256.39
Mar 1, 2020	258.11
Feb 1, 2020	258.68
Jan 1, 2020	257.97
Dec 1, 2019	256.97
Nov 1, 2019	257.21
Oct 1, 2019	257.35
Sep 1, 2019	256.76
Aug 1, 2019	256.56
Jul 1, 2019	256.57
Jun 1, 2019	256.14
May 1, 2019	256.09
Apr 1, 2019	255.55
Mar 1, 2019	254.20
Feb 1, 2019	252.78
Jan 1, 2019	251.71
Dec 1, 2018	251.23
Nov 1, 2018	252.04
Oct 1, 2018	252.88
Sep 1, 2018	252.44
Aug 1, 2018	252.15
Jul 1, 2018	252.01
Jun 1, 2018	251.99
May 1, 2018	251.59
Apr 1, 2018	250.55
Mar 1, 2018	249.55
Feb 1, 2018	248.99
Jan 1, 2018	247.87
Dec 1, 2017	246.52
Nov 1, 2017	246.67
Oct 1, 2017	246.66
Sep 1, 2017	246.82
Aug 1, 2017	245.52
Jul 1, 2017	244.79
Jun 1, 2017	244.96
May 1, 2017	244.73
Apr 1, 2017	244.52
Mar 1, 2017	243.80
Feb 1, 2017	243.60
Jan 1, 2017	242.84
Dec 1, 2016	241.43
Nov 1, 2016	241.35
Oct 1, 2016	241.73
Sep 1, 2016	241.43
Aug 1, 2016	240.85
Jul 1, 2016	240.63
Jun 1, 2016	241.02
May 1, 2016	240.23
Apr 1, 2016	239.26
Mar 1, 2016	238.13
Feb 1, 2016	237.11
Jan 1, 2016	236.92
Dec 1, 2015	236.52
Nov 1, 2015	237.34
Oct 1, 2015	237.84
Sep 1, 2015	237.95
Aug 1, 2015	238.32
Jul 1, 2015	238.65
Jun 1, 2015	238.64
May 1, 2015	237.80
Apr 1, 2015	236.60
Mar 1, 2015	236.12
Feb 1, 2015	234.72
Jan 1, 2015	233.71
Dec 1, 2014	234.81
Nov 1, 2014	236.15
Oct 1, 2014	237.43
Sep 1, 2014	238.03
Aug 1, 2014	237.85
Jul 1, 2014	238.25
Jun 1, 2014	238.34
May 1, 2014	237.90
Apr 1, 2014	237.07
Mar 1, 2014	236.29
Feb 1, 2014	234.78
Jan 1, 2014	233.92
Dec 1, 2013	233.05
Nov 1, 2013	233.07
Oct 1, 2013	233.55
Sep 1, 2013	234.15
Aug 1, 2013	233.88
Jul 1, 2013	233.60
Jun 1, 2013	233.50
May 1, 2013	232.95
Apr 1, 2013	232.53
Mar 1, 2013	232.77
Feb 1, 2013	232.17
Jan 1, 2013	230.28
Dec 1, 2012	229.60
Nov 1, 2012	230.22
Oct 1, 2012	231.32
Sep 1, 2012	231.41
Aug 1, 2012	230.38
Jul 1, 2012	229.10
Jun 1, 2012	229.48
May 1, 2012	229.82
Apr 1, 2012	230.09
Mar 1, 2012	229.39
Feb 1, 2012	227.66
Jan 1, 2012	226.66
Dec 1, 2011	225.67
Nov 1, 2011	226.23
Oct 1, 2011	226.42
Sep 1, 2011	226.89
Aug 1, 2011	226.54
Jul 1, 2011	225.92
Jun 1, 2011	225.72
May 1, 2011	225.96
Apr 1, 2011	224.91
Mar 1, 2011	223.47
Feb 1, 2011	221.31
Jan 1, 2011	220.22
Dec 1, 2010	219.18
Nov 1, 2010	218.80
Oct 1, 2010	218.71
Sep 1, 2010	218.44
Aug 1, 2010	218.31
Jul 1, 2010	218.01
Jun 1, 2010	217.96
May 1, 2010	218.18
Apr 1, 2010	218.01
Mar 1, 2010	217.63
Feb 1, 2010	216.74
Jan 1, 2010	216.69
Dec 1, 2009	215.95
Nov 1, 2009	216.33
Oct 1, 2009	216.18
Sep 1, 2009	215.97
Aug 1, 2009	215.83
Jul 1, 2009	215.35
Jun 1, 2009	215.69
May 1, 2009	213.86
Apr 1, 2009	213.24
Mar 1, 2009	212.71
Feb 1, 2009	212.19
Jan 1, 2009	211.14
Dec 1, 2008	210.23
Nov 1, 2008	212.43
Oct 1, 2008	216.57
Sep 1, 2008	218.78
Aug 1, 2008	219.09
Jul 1, 2008	219.96
Jun 1, 2008	218.82
May 1, 2008	216.63
Apr 1, 2008	214.82
Mar 1, 2008	213.53
Feb 1, 2008	211.69
Jan 1, 2008	211.08
Dec 1, 2007	210.04
Nov 1, 2007	210.18
Oct 1, 2007	208.94
Sep 1, 2007	208.49
Aug 1, 2007	207.92
Jul 1, 2007	208.30
Jun 1, 2007	208.35
