day,time,type,node,saros,day_formatted,date_with_time
2020 Jun 05,19:25,Penumbral,D,111,6/5/2020,6/5/2020 19:25:00
2020 Nov 30,9:43,Penumbral,A,116,11/30/2020,11/30/2020 9:43:00
2021 May 26,11:19,Total,D,121,5/26/2021,5/26/2021 11:19:00
2021 Nov 19,9:03,Partial,A,126,11/19/2021,11/19/2021 9:03:00
2022 May 16,4:11,Total,D,131,5/16/2022,5/16/2022 4:11:00
2022 Nov 08,10:59,Total,A,136,11/8/2022,11/8/2022 10:59:00
2023 May 05,17:23,Penumbral,D,141,5/5/2023,5/5/2023 17:23:00
2023 Oct 28,20:14,Partial,A,146,10/28/2023,10/28/2023 20:14:00
2024 Mar 25,7:13,Penumbral,D,113,3/25/2024,3/25/2024 7:13:00
2024 Sep 18,2:44,Partial,A,118,9/18/2024,9/18/2024 2:44:00
2025 Mar 14,6:59,Total,D,123,3/14/2025,3/14/2025 6:59:00
2025 Sep 07,18:12,Total,A,128,9/7/2025,9/7/2025 18:12:00
2026 Mar 03,11:33,Total,D,133,3/3/2026,3/3/2026 11:33:00
2026 Aug 28,4:13,Partial,A,138,8/28/2026,8/28/2026 4:13:00
2027 Feb 20,23:13,Penumbral,D,143,2/20/2027,2/20/2027 23:13:00
2027 Aug 17,7:14,Penumbral,A,148,8/17/2027,8/17/2027 7:14:00
2027 Jul 18,16:03,Penumbral,A,110,7/18/2027,7/18/2027 16:03:00
2028 Jan 12,4:13,Partial,D,115,1/12/2028,1/12/2028 4:13:00
2028 Jul 06,18:19,Partial,A,120,7/6/2028,7/6/2028 18:19:00
2028 Dec 31,16:52,Total,D,125,12/31/2028,12/31/2028 16:52:00
2029 Jun 26,3:22,Total,A,130,6/26/2029,6/26/2029 3:22:00
2029 Dec 20,22:42,Total,D,135,12/20/2029,12/20/2029 22:42:00
2030 Jun 15,18:33,Partial,A,140,6/15/2030,6/15/2030 18:33:00
2030 Dec 09,22:27,Penumbral,D,145,12/9/2030,12/9/2030 22:27:00
2031 Jun 05,11:44,Penumbral,A,150,6/5/2031,6/5/2031 11:44:00
2031 May 07,3:51,Penumbral,A,112,5/7/2031,5/7/2031 3:51:00
2031 Oct 30,7:45,Penumbral,D,117,10/30/2031,10/30/2031 7:45:00
2032 Apr 25,15:13,Total,A,122,4/25/2032,4/25/2032 15:13:00
2032 Oct 18,19:02,Total,D,127,10/18/2032,10/18/2032 19:02:00
2033 Apr 14,19:12,Total,A,132,4/14/2033,4/14/2033 19:12:00
2033 Oct 08,10:55,Total,D,137,10/8/2033,10/8/2033 10:55:00
2034 Apr 03,19:05,Penumbral,A,142,4/3/2034,4/3/2034 19:05:00
2034 Sep 28,2:46,Partial,D,147,9/28/2034,9/28/2034 2:46:00
2035 Feb 22,9:05,Penumbral,A,114,2/22/2035,2/22/2035 9:05:00
2035 Aug 19,1:11,Partial,D,119,8/19/2035,8/19/2035 1:11:00
2036 Feb 11,22:11,Total,A,124,2/11/2036,2/11/2036 22:11:00
