day,num,ticket,time,exit,enter
09/30/2015,59473,50,09/30/2015 08:00:00,42,22
09/30/2015,59474,73,09/30/2015 08:00:00,41,36
09/30/2015,59475,66,09/30/2015 08:00:00,41,37
09/30/2015,59476,66,09/30/2015 08:00:00,41,18
09/30/2015,59477,66,09/30/2015 08:00:00,40,33
09/30/2015,59478,66,09/30/2015 08:00:00,18,38
09/30/2015,59479,50,09/30/2015 08:00:00,40,11
09/30/2015,59480,66,09/30/2015 08:00:01,41,17
09/30/2015,59481,73,09/30/2015 08:00:01,5,21
09/30/2015,59482,73,09/30/2015 08:00:01,48,35
09/30/2015,59483,71,09/30/2015 08:00:01,45,45
09/30/2015,59484,66,09/30/2015 08:00:01,44,15
09/30/2015,59485,66,09/30/2015 08:00:01,41,33
09/30/2015,59486,66,09/30/2015 08:00:01,41,17
09/30/2015,59487,50,09/30/2015 08:00:01,41,33
09/30/2015,59488,50,09/30/2015 08:00:01,41,18
09/30/2015,59489,104,09/30/2015 08:00:01,18,35
09/30/2015,59490,50,09/30/2015 08:00:01,18,30
09/30/2015,59491,66,09/30/2015 08:00:01,16,25
09/30/2015,59492,59,09/30/2015 08:00:01,16,20
09/30/2015,59493,66,09/30/2015 08:00:01,42,26
09/30/2015,59494,73,09/30/2015 08:00:02,48,35
09/30/2015,59495,50,09/30/2015 08:00:02,42,25
09/30/2015,59496,66,09/30/2015 08:00:02,42,27
09/30/2015,59497,50,09/30/2015 08:00:02,40,18
09/30/2015,59498,50,09/30/2015 08:00:02,18,11
09/30/2015,59499,66,09/30/2015 08:00:02,18,30
09/30/2015,59500,50,09/30/2015 08:00:02,16,33
09/30/2015,59501,50,09/30/2015 08:00:02,20,39
09/30/2015,59502,73,09/30/2015 08:00:02,18,33
09/30/2015,59503,73,09/30/2015 08:00:02,40,33
09/30/2015,59504,50,09/30/2015 08:00:03,41,37
09/30/2015,59505,50,09/30/2015 08:00:03,42,33
09/30/2015,59506,50,09/30/2015 08:00:03,42,27
09/30/2015,59507,66,09/30/2015 08:00:03,41,36
09/30/2015,59508,66,09/30/2015 08:00:03,41,16
09/30/2015,59509,66,09/30/2015 08:00:03,41,33
09/30/2015,59510,73,09/30/2015 08:00:03,41,31
09/30/2015,59511,66,09/30/2015 08:00:03,41,33
09/30/2015,59512,73,09/30/2015 08:00:03,41,18
09/30/2015,59513,73,09/30/2015 08:00:03,41,38
09/30/2015,59514,66,09/30/2015 08:00:03,41,31
09/30/2015,59515,66,09/30/2015 08:00:03,41,18
09/30/2015,59516,50,09/30/2015 08:00:03,40,45
09/30/2015,59517,50,09/30/2015 08:00:03,18,10
09/30/2015,59518,68,09/30/2015 08:00:03,16,20
09/30/2015,59519,73,09/30/2015 08:00:03,16,26
09/30/2015,59520,66,09/30/2015 08:00:03,16,28
09/30/2015,59521,66,09/30/2015 08:00:03,4,13
09/30/2015,59522,73,09/30/2015 08:00:04,42,22
09/30/2015,59523,66,09/30/2015 08:00:04,41,15
09/30/2015,59524,50,09/30/2015 08:00:04,18,33
09/30/2015,59525,66,09/30/2015 08:00:04,16,34
09/30/2015,59526,50,09/30/2015 08:00:04,20,39
09/30/2015,59527,73,09/30/2015 08:00:04,18,34
09/30/2015,59528,50,09/30/2015 08:00:05,42,22
09/30/2015,59529,73,09/30/2015 08:00:05,42,27
09/30/2015,59530,50,09/30/2015 08:00:05,42,21
09/30/2015,59531,73,09/30/2015 08:00:05,41,33
09/30/2015,59532,66,09/30/2015 08:00:05,41,16
09/30/2015,59533,66,09/30/2015 08:00:05,41,10
09/30/2015,59534,66,09/30/2015 08:00:05,40,39
09/30/2015,59535,66,09/30/2015 08:00:05,18,30
09/30/2015,59536,73,09/30/2015 08:00:05,18,35
09/30/2015,59537,66,09/30/2015 08:00:05,16,23
09/30/2015,59538,66,09/30/2015 08:00:05,20,47
09/30/2015,59539,66,09/30/2015 08:00:05,4,14
09/30/2015,59540,50,09/30/2015 08:00:06,41,15
09/30/2015,59541,68,09/30/2015 08:00:06,42,23
09/30/2015,59542,68,09/30/2015 08:00:06,41,38
09/30/2015,59543,66,09/30/2015 08:00:06,41,17
09/30/2015,59544,50,09/30/2015 08:00:06,41,31
09/30/2015,59545,66,09/30/2015 08:00:06,41,38
09/30/2015,59546,66,09/30/2015 08:00:06,41,17
09/30/2015,59547,66,09/30/2015 08:00:06,40,39
09/30/2015,59548,50,09/30/2015 08:00:06,18,11
09/30/2015,59549,73,09/30/2015 08:00:06,16,9
09/30/2015,59550,50,09/30/2015 08:00:06,41,17
09/30/2015,59551,50,09/30/2015 08:00:06,44,16
09/30/2015,59552,66,09/30/2015 08:00:07,5,29
09/30/2015,59553,66,09/30/2015 08:00:07,44,40
09/30/2015,59554,66,09/30/2015 08:00:07,44,43
09/30/2015,59555,66,09/30/2015 08:00:07,41,39
09/30/2015,59556,73,09/30/2015 08:00:07,41,34
09/30/2015,59557,66,09/30/2015 08:00:07,41,33
09/30/2015,59558,50,09/30/2015 08:00:07,41,18
09/30/2015,59559,66,09/30/2015 08:00:07,40,19
09/30/2015,59560,73,09/30/2015 08:00:07,40,33
09/30/2015,59561,50,09/30/2015 08:00:07,18,30
09/30/2015,59562,66,09/30/2015 08:00:07,16,27
09/30/2015,59563,66,09/30/2015 08:00:07,16,34
09/30/2015,59564,66,09/30/2015 08:00:07,19,39
09/30/2015,59565,73,09/30/2015 08:00:07,18,30
09/30/2015,59566,73,09/30/2015 08:00:08,41,10
09/30/2015,59567,50,09/30/2015 08:00:08,5,16
09/30/2015,59568,50,09/30/2015 08:00:08,42,25
09/30/2015,59569,66,09/30/2015 08:00:08,41,35
09/30/2015,59570,68,09/30/2015 08:00:08,41,33
09/30/2015,59571,73,09/30/2015 08:00:08,41,34
09/30/2015,59572,66,09/30/2015 08:00:08,41,30
09/30/2015,59573,66,09/30/2015 08:00:08,41,26
09/30/2015,59574,66,09/30/2015 08:00:08,41,35
09/30/2015,59575,66,09/30/2015 08:00:08,40,39
09/30/2015,59576,50,09/30/2015 08:00:08,18,33
09/30/2015,59577,66,09/30/2015 08:00:08,16,33
09/30/2015,59578,50,09/30/2015 08:00:08,31,34
09/30/2015,59579,66,09/30/2015 08:00:08,20,42
09/30/2015,59580,66,09/30/2015 08:00:09,45,8
09/30/2015,59581,50,09/30/2015 08:00:09,44,15
09/30/2015,59582,66,09/30/2015 08:00:09,42,25
09/30/2015,59583,66,09/30/2015 08:00:09,41,39
09/30/2015,59584,66,09/30/2015 08:00:09,41,39
09/30/2015,59585,66,09/30/2015 08:00:09,41,39
09/30/2015,59586,50,09/30/2015 08:00:09,41,36
09/30/2015,59587,66,09/30/2015 08:00:09,41,31
09/30/2015,59588,73,09/30/2015 08:00:09,40,19
09/30/2015,59589,66,09/30/2015 08:00:09,40,37
09/30/2015,59590,66,09/30/2015 08:00:09,18,30
09/30/2015,59591,73,09/30/2015 08:00:09,16,23
09/30/2015,59592,66,09/30/2015 08:00:09,19,43
09/30/2015,59593,66,09/30/2015 08:00:09,20,41
09/30/2015,59594,66,09/30/2015 08:00:09,18,33
09/30/2015,59595,66,09/30/2015 08:00:09,42,20
09/30/2015,59596,66,09/30/2015 08:00:09,4,14
09/30/2015,59597,50,09/30/2015 08:00:09,33,30
09/30/2015,59598,66,09/30/2015 08:00:09,16,27
09/30/2015,59599,66,09/30/2015 08:00:10,5,48
09/30/2015,59600,66,09/30/2015 08:00:10,44,10
09/30/2015,59601,50,09/30/2015 08:00:10,42,38
09/30/2015,59602,73,09/30/2015 08:00:10,40,9
09/30/2015,59603,66,09/30/2015 08:00:10,18,40
09/30/2015,59604,66,09/30/2015 08:00:10,18,35
09/30/2015,59605,50,09/30/2015 08:00:11,41,37
09/30/2015,59606,66,09/30/2015 08:00:11,41,30
09/30/2015,59607,73,09/30/2015 08:00:11,41,13
09/30/2015,59608,66,09/30/2015 08:00:11,41,18
09/30/2015,59609,66,09/30/2015 08:00:11,41,16
09/30/2015,59610,71,09/30/2015 08:00:11,40,46
09/30/2015,59611,50,09/30/2015 08:00:11,40,29
09/30/2015,59612,50,09/30/2015 08:00:11,40,33
09/30/2015,59613,73,09/30/2015 08:00:11,16,33
09/30/2015,59614,73,09/30/2015 08:00:11,19,45
09/30/2015,59615,66,09/30/2015 08:00:11,17,12
09/30/2015,59616,66,09/30/2015 08:00:12,5,46
09/30/2015,59617,66,09/30/2015 08:00:12,41,34
09/30/2015,59618,73,09/30/2015 08:00:12,41,11
09/30/2015,59619,73,09/30/2015 08:00:12,41,18
09/30/2015,59620,66,09/30/2015 08:00:12,41,30
09/30/2015,59621,66,09/30/2015 08:00:12,40,20
09/30/2015,59622,66,09/30/2015 08:00:12,40,37
09/30/2015,59623,50,09/30/2015 08:00:12,40,18
09/30/2015,59624,66,09/30/2015 08:00:12,18,36
09/30/2015,59625,73,09/30/2015 08:00:12,18,11
09/30/2015,59626,50,09/30/2015 08:00:12,18,30
09/30/2015,59627,66,09/30/2015 08:00:12,18,37
09/30/2015,59628,50,09/30/2015 08:00:12,16,26
09/30/2015,59629,66,09/30/2015 08:00:12,18,30
09/30/2015,59630,50,09/30/2015 08:00:13,44,43
09/30/2015,59631,50,09/30/2015 08:00:13,44,13
09/30/2015,59632,66,09/30/2015 08:00:13,44,16
09/30/2015,59633,50,09/30/2015 08:00:13,42,38
09/30/2015,59634,73,09/30/2015 08:00:13,41,12
09/30/2015,59635,50,09/30/2015 08:00:13,41,14
09/30/2015,59636,73,09/30/2015 08:00:13,40,22
09/30/2015,59637,66,09/30/2015 08:00:13,40,28
