day,num,ticket,time,exit,enter
09/30/2015,61348,66,09/30/2015 08:02:01,14,47
09/30/2015,61565,73,09/30/2015 08:02:13,14,47
09/30/2015,61784,73,09/30/2015 08:02:24,14,47
09/30/2015,62366,67,09/30/2015 08:02:56,14,47
09/30/2015,62397,67,09/30/2015 08:02:58,14,47
09/30/2015,71242,66,09/30/2015 08:13:43,14,47
09/30/2015,71621,73,09/30/2015 08:14:03,14,47
09/30/2015,71930,50,09/30/2015 08:14:18,14,47
09/30/2015,72177,66,09/30/2015 08:14:30,14,47
09/30/2015,72705,66,09/30/2015 08:14:55,14,47
09/30/2015,72932,50,09/30/2015 08:15:06,14,47
09/30/2015,78562,66,09/30/2015 08:22:59,14,47
09/30/2015,79016,73,09/30/2015 08:23:27,14,47
09/30/2015,79677,66,09/30/2015 08:24:01,14,47
09/30/2015,61285,50,09/30/2015 08:01:57,14,34
09/30/2015,61380,73,09/30/2015 08:02:03,14,34
09/30/2015,61472,59,09/30/2015 08:02:08,14,34
09/30/2015,61602,73,09/30/2015 08:02:15,14,34
09/30/2015,61840,73,09/30/2015 08:02:27,14,34
09/30/2015,61854,50,09/30/2015 08:02:28,14,34
09/30/2015,62102,69,09/30/2015 08:02:41,14,34
09/30/2015,62118,68,09/30/2015 08:02:42,14,34
09/30/2015,62129,66,09/30/2015 08:02:43,14,34
09/30/2015,62155,53,09/30/2015 08:02:44,14,34
09/30/2015,62156,66,09/30/2015 08:02:44,14,34
09/30/2015,64813,50,09/30/2015 08:05:35,14,34
09/30/2015,65548,73,09/30/2015 08:06:22,14,34
09/30/2015,65845,50,09/30/2015 08:06:45,14,34
09/30/2015,65890,50,09/30/2015 08:06:48,14,34
09/30/2015,70980,73,09/30/2015 08:13:30,14,34
09/30/2015,71084,50,09/30/2015 08:13:35,14,34
09/30/2015,71144,66,09/30/2015 08:13:38,14,34
09/30/2015,71146,66,09/30/2015 08:13:38,14,34
09/30/2015,71166,66,09/30/2015 08:13:39,14,34
09/30/2015,71224,66,09/30/2015 08:13:42,14,34
09/30/2015,71263,50,09/30/2015 08:13:44,14,34
09/30/2015,71324,50,09/30/2015 08:13:47,14,34
09/30/2015,71481,73,09/30/2015 08:13:55,14,34
09/30/2015,71485,66,09/30/2015 08:13:55,14,34
09/30/2015,71583,66,09/30/2015 08:14:01,14,34
09/30/2015,71644,66,09/30/2015 08:14:04,14,34
09/30/2015,71679,66,09/30/2015 08:14:06,14,34
09/30/2015,71697,66,09/30/2015 08:14:07,14,34
09/30/2015,71738,66,09/30/2015 08:14:09,14,34
09/30/2015,71751,66,09/30/2015 08:14:10,14,34
09/30/2015,71779,66,09/30/2015 08:14:11,14,34
09/30/2015,71849,66,09/30/2015 08:14:14,14,34
09/30/2015,71888,66,09/30/2015 08:14:16,14,34
09/30/2015,71890,66,09/30/2015 08:14:16,14,34
09/30/2015,71891,66,09/30/2015 08:14:16,14,34
09/30/2015,71973,68,09/30/2015 08:14:20,14,34
09/30/2015,72063,66,09/30/2015 08:14:24,14,34
09/30/2015,72262,66,09/30/2015 08:14:34,14,34
09/30/2015,72362,66,09/30/2015 08:14:39,14,34
09/30/2015,72412,66,09/30/2015 08:14:41,14,34
09/30/2015,72413,66,09/30/2015 08:14:41,14,34
09/30/2015,72475,66,09/30/2015 08:14:44,14,34
09/30/2015,72552,66,09/30/2015 08:14:48,14,34
09/30/2015,72735,66,09/30/2015 08:14:56,14,34
09/30/2015,72820,66,09/30/2015 08:15:00,14,34
09/30/2015,78475,69,09/30/2015 08:22:54,14,34
09/30/2015,78605,66,09/30/2015 08:23:02,14,34
09/30/2015,78762,50,09/30/2015 08:23:12,14,34
09/30/2015,61364,66,09/30/2015 08:02:02,14,48
09/30/2015,62136,50,09/30/2015 08:02:43,14,48
09/30/2015,70961,73,09/30/2015 08:13:29,14,48
09/30/2015,71362,73,09/30/2015 08:13:49,14,48
09/30/2015,71400,50,09/30/2015 08:13:51,14,48
09/30/2015,71460,50,09/30/2015 08:13:54,14,48
09/30/2015,71483,66,09/30/2015 08:13:55,14,48
09/30/2015,72151,66,09/30/2015 08:14:29,14,48
09/30/2015,72197,66,09/30/2015 08:14:31,14,48
09/30/2015,72685,66,09/30/2015 08:14:54,14,48
09/30/2015,72872,73,09/30/2015 08:15:03,14,48
09/30/2015,72895,50,09/30/2015 08:15:04,14,48
09/30/2015,73183,66,09/30/2015 08:15:21,14,48
09/30/2015,78910,66,09/30/2015 08:23:22,14,48
09/30/2015,79035,73,09/30/2015 08:23:28,14,48
09/30/2015,61349,66,09/30/2015 08:02:01,14,45
09/30/2015,61600,66,09/30/2015 08:02:15,14,45
09/30/2015,61651,66,09/30/2015 08:02:18,14,45
09/30/2015,71003,73,09/30/2015 08:13:31,14,45
09/30/2015,71443,73,09/30/2015 08:13:53,14,45
09/30/2015,71488,66,09/30/2015 08:13:55,14,45
09/30/2015,71581,66,09/30/2015 08:14:01,14,45
09/30/2015,71734,66,09/30/2015 08:14:09,14,45
09/30/2015,71752,66,09/30/2015 08:14:10,14,45
09/30/2015,72432,66,09/30/2015 08:14:42,14,45
09/30/2015,72960,66,09/30/2015 08:15:08,14,45
09/30/2015,73275,73,09/30/2015 08:15:27,14,45
09/30/2015,78913,66,09/30/2015 08:23:22,14,45
09/30/2015,81549,66,09/30/2015 08:26:09,14,45
09/30/2015,62879,66,09/30/2015 08:03:26,14,11
09/30/2015,62935,59,09/30/2015 08:03:29,14,11
09/30/2015,62983,50,09/30/2015 08:03:31,14,11
09/30/2015,62984,66,09/30/2015 08:03:31,14,11
09/30/2015,63050,66,09/30/2015 08:03:35,14,11
09/30/2015,63052,66,09/30/2015 08:03:35,14,11
09/30/2015,63078,66,09/30/2015 08:03:36,14,11
09/30/2015,63121,50,09/30/2015 08:03:38,14,11
09/30/2015,63122,50,09/30/2015 08:03:38,14,11
09/30/2015,63174,59,09/30/2015 08:03:41,14,11
09/30/2015,63206,50,09/30/2015 08:03:43,14,11
09/30/2015,63241,50,09/30/2015 08:03:45,14,11
09/30/2015,63260,66,09/30/2015 08:03:46,14,11
09/30/2015,63378,66,09/30/2015 08:03:53,14,11
09/30/2015,63396,50,09/30/2015 08:03:54,14,11
09/30/2015,63428,60,09/30/2015 08:03:56,14,11
09/30/2015,63487,50,09/30/2015 08:04:00,14,11
09/30/2015,63515,50,09/30/2015 08:04:02,14,11
09/30/2015,63525,50,09/30/2015 08:04:03,14,11
09/30/2015,63559,66,09/30/2015 08:04:06,14,11
09/30/2015,63578,50,09/30/2015 08:04:07,14,11
09/30/2015,63821,66,09/30/2015 08:04:31,14,11
09/30/2015,64337,66,09/30/2015 08:05:04,14,11
09/30/2015,71062,66,09/30/2015 08:13:34,14,11
09/30/2015,71083,66,09/30/2015 08:13:35,14,11
09/30/2015,71143,73,09/30/2015 08:13:38,14,11
09/30/2015,71182,66,09/30/2015 08:13:40,14,11
09/30/2015,71183,66,09/30/2015 08:13:40,14,11
09/30/2015,71184,50,09/30/2015 08:13:40,14,11
09/30/2015,71401,66,09/30/2015 08:13:51,14,11
09/30/2015,71484,50,09/30/2015 08:13:55,14,11
09/30/2015,71523,50,09/30/2015 08:13:57,14,11
09/30/2015,71622,66,09/30/2015 08:14:03,14,11
09/30/2015,71656,50,09/30/2015 08:14:05,14,11
09/30/2015,71680,66,09/30/2015 08:14:06,14,11
09/30/2015,71681,66,09/30/2015 08:14:06,14,11
09/30/2015,71722,59,09/30/2015 08:14:08,14,11
09/30/2015,71723,66,09/30/2015 08:14:08,14,11
09/30/2015,71889,66,09/30/2015 08:14:16,14,11
09/30/2015,71926,50,09/30/2015 08:14:18,14,11
09/30/2015,71929,50,09/30/2015 08:14:18,14,11
09/30/2015,72082,50,09/30/2015 08:14:25,14,11
09/30/2015,72102,73,09/30/2015 08:14:26,14,11
09/30/2015,72122,66,09/30/2015 08:14:27,14,11
09/30/2015,72150,50,09/30/2015 08:14:29,14,11
09/30/2015,72176,66,09/30/2015 08:14:30,14,11
09/30/2015,72193,50,09/30/2015 08:14:31,14,11
09/30/2015,72196,66,09/30/2015 08:14:31,14,11
09/30/2015,72241,50,09/30/2015 08:14:33,14,11
09/30/2015,72283,50,09/30/2015 08:14:35,14,11
09/30/2015,72284,50,09/30/2015 08:14:35,14,11
09/30/2015,72285,66,09/30/2015 08:14:35,14,11
09/30/2015,72287,50,09/30/2015 08:14:35,14,11
09/30/2015,72306,66,09/30/2015 08:14:36,14,11
09/30/2015,72363,73,09/30/2015 08:14:39,14,11
09/30/2015,72551,50,09/30/2015 08:14:48,14,11
09/30/2015,72600,50,09/30/2015 08:14:50,14,11
09/30/2015,72620,59,09/30/2015 08:14:51,14,11
09/30/2015,72655,73,09/30/2015 08:14:53,14,11
09/30/2015,72734,66,09/30/2015 08:14:56,14,11
09/30/2015,72740,66,09/30/2015 08:14:56,14,11
09/30/2015,72757,60,09/30/2015 08:14:57,14,11
09/30/2015,72813,50,09/30/2015 08:15:00,14,11
09/30/2015,72852,50,09/30/2015 08:15:02,14,11
09/30/2015,72914,59,09/30/2015 08:15:05,14,11
09/30/2015,76008,66,09/30/2015 08:19:27,14,11
09/30/2015,76026,73,09/30/2015 08:19:29,14,11
09/30/2015,76027,73,09/30/2015 08:19:29,14,11
09/30/2015,76036,73,09/30/2015 08:19:30,14,11
09/30/2015,76067,73,09/30/2015 08:19:33,14,11
09/30/2015,76089,50,09/30/2015 08:19:36,14,11
09/30/2015,76090,50,09/30/2015 08:19:36,14,11
09/30/2015,76167,53,09/30/2015 08:19:45,14,11
09/30/2015,76168,53,09/30/2015 08:19:45,14,11
09/30/2015,76203,66,09/30/2015 08:19:48,14,11
09/30/2015,76204,50,09/30/2015 08:19:48,14,11
09/30/2015,76216,53,09/30/2015 08:19:49,14,11
09/30/2015,76219,66,09/30/2015 08:19:49,14,11
09/30/2015,76274,66,09/30/2015 08:19:54,14,11
09/30/2015,76282,66,09/30/2015 08:19:55,14,11
09/30/2015,76304,50,09/30/2015 08:19:57,14,11
09/30/2015,76336,66,09/30/2015 08:19:59,14,11
09/30/2015,76337,50,09/30/2015 08:19:59,14,11
09/30/2015,76342,102,09/30/2015 08:20:00,14,11
09/30/2015,76357,66,09/30/2015 08:20:01,14,11
09/30/2015,76373,59,09/30/2015 08:20:03,14,11
09/30/2015,76402,66,09/30/2015 08:20:05,14,11
09/30/2015,76427,69,09/30/2015 08:20:07,14,11
09/30/2015,76428,66,09/30/2015 08:20:07,14,11
09/30/2015,76456,50,09/30/2015 08:20:10,14,11
09/30/2015,76465,50,09/30/2015 08:20:11,14,11
09/30/2015,76503,50,09/30/2015 08:20:14,14,11
09/30/2015,76511,59,09/30/2015 08:20:15,14,11
09/30/2015,76577,50,09/30/2015 08:20:21,14,11
09/30/2015,76654,59,09/30/2015 08:20:28,14,11
09/30/2015,76655,66,09/30/2015 08:20:28,14,11
09/30/2015,76827,50,09/30/2015 08:20:44,14,11
09/30/2015,81455,66,09/30/2015 08:26:05,14,11
09/30/2015,81461,73,09/30/2015 08:26:05,14,11
09/30/2015,81503,73,09/30/2015 08:26:07,14,11
09/30/2015,81624,73,09/30/2015 08:26:12,14,11
09/30/2015,81649,66,09/30/2015 08:26:13,14,11
09/30/2015,81722,50,09/30/2015 08:26:16,14,11
09/30/2015,81744,73,09/30/2015 08:26:17,14,11
09/30/2015,81776,50,09/30/2015 08:26:18,14,11
09/30/2015,81778,66,09/30/2015 08:26:18,14,11
09/30/2015,81808,50,09/30/2015 08:26:19,14,11
09/30/2015,81809,66,09/30/2015 08:26:19,14,11
09/30/2015,81841,66,09/30/2015 08:26:20,14,11
09/30/2015,81972,67,09/30/2015 08:26:25,14,11
09/30/2015,81986,66,09/30/2015 08:26:26,14,11
09/30/2015,81987,66,09/30/2015 08:26:26,14,11
09/30/2015,82120,50,09/30/2015 08:26:32,14,11
09/30/2015,82166,66,09/30/2015 08:26:34,14,11
09/30/2015,82236,66,09/30/2015 08:26:37,14,11
09/30/2015,82256,73,09/30/2015 08:26:38,14,11
09/30/2015,82257,73,09/30/2015 08:26:38,14,11
09/30/2015,82304,66,09/30/2015 08:26:40,14,11
09/30/2015,82326,66,09/30/2015 08:26:41,14,11
09/30/2015,82372,50,09/30/2015 08:26:43,14,11
09/30/2015,82373,50,09/30/2015 08:26:43,14,11
09/30/2015,82393,66,09/30/2015 08:26:44,14,11
09/30/2015,82413,59,09/30/2015 08:26:45,14,11
09/30/2015,82499,50,09/30/2015 08:26:49,14,11
09/30/2015,82603,66,09/30/2015 08:26:55,14,11
09/30/2015,82604,50,09/30/2015 08:26:55,14,11
09/30/2015,82979,66,09/30/2015 08:27:16,14,11
09/30/2015,61508,66,09/30/2015 08:02:10,14,29
09/30/2015,65137,66,09/30/2015 08:05:57,14,29
09/30/2015,65287,73,09/30/2015 08:06:07,14,29
09/30/2015,65327,66,09/30/2015 08:06:09,14,29
09/30/2015,65395,66,09/30/2015 08:06:13,14,29
09/30/2015,65683,66,09/30/2015 08:06:32,14,29
09/30/2015,78622,66,09/30/2015 08:23:03,14,29
09/30/2015,78761,73,09/30/2015 08:23:12,14,29
09/30/2015,79077,66,09/30/2015 08:23:30,14,29
09/30/2015,79346,50,09/30/2015 08:23:44,14,29
09/30/2015,79347,73,09/30/2015 08:23:44,14,29
09/30/2015,79367,73,09/30/2015 08:23:45,14,29
09/30/2015,79474,60,09/30/2015 08:23:50,14,29
09/30/2015,79721,73,09/30/2015 08:24:04,14,29
09/30/2015,79845,66,09/30/2015 08:24:12,14,29
09/30/2015,61434,66,09/30/2015 08:02:06,14,46
09/30/2015,61507,73,09/30/2015 08:02:10,14,46
09/30/2015,61740,66,09/30/2015 08:02:22,14,46
09/30/2015,62048,66,09/30/2015 08:02:38,14,46
09/30/2015,62223,66,09/30/2015 08:02:48,14,46
09/30/2015,71265,66,09/30/2015 08:13:44,14,46
09/30/2015,72414,66,09/30/2015 08:14:41,14,46
09/30/2015,74155,50,09/30/2015 08:16:32,14,46
09/30/2015,79447,66,09/30/2015 08:23:49,14,46
09/30/2015,61240,73,09/30/2015 08:01:54,14,35
09/30/2015,61339,66,09/30/2015 08:02:00,14,35
09/30/2015,61719,50,09/30/2015 08:02:21,14,35
09/30/2015,61925,68,09/30/2015 08:02:32,14,35
09/30/2015,71021,73,09/30/2015 08:13:32,14,35
09/30/2015,71022,73,09/30/2015 08:13:32,14,35
09/30/2015,71282,50,09/30/2015 08:13:45,14,35
09/30/2015,71387,73,09/30/2015 08:13:50,14,35
