Sex,Age,Income,State
Female,003,9999999,Alabama
Female,020,0000000,Idaho
Male,025,0023000,New Jersey
Female,037,0000000,Oklahoma
Male,005,9999999,Kansas
Female,044,0031200,Mississippi
Male,015,0000000,Oregon
Male,010,9999999,Washington
Female,068,0020500,California
Male,057,0016700,Nevada
Female,024,0025000,California
Female,059,0016850,Idaho
Female,011,9999999,New Mexico
Female,051,0032000,North Carolina
Female,056,0020000,Florida
Male,043,0004000,Ohio
Male,059,0020000,Wisconsin
Male,022,0013600,Texas
Female,051,0008750,Arizona
Female,032,0000000,Kansas
Female,048,0091000,Michigan
Male,036,0020000,South Carolina
Male,040,0036350,Pennsylvania
Male,019,0002550,Pennsylvania
Male,075,0026100,Illinois
Female,070,0015800,Missouri
Female,046,0000000,New York
Female,002,9999999,Arkansas
Female,084,0007000,California
Female,059,0064000,Wisconsin
Female,023,0025030,Indiana
Female,009,9999999,Texas
Male,013,9999999,Pennsylvania
Male,000,9999999,Minnesota
Male,028,0100000,California
Male,035,0062000,Ohio
Male,048,0045000,Hawaii
Female,002,9999999,California
Male,063,0035200,Minnesota
Female,061,0027000,Ohio
Male,056,0018000,Illinois
Female,068,0022000,California
Male,037,0120000,Pennsylvania
Male,042,0016100,California
Female,028,0025000,Pennsylvania
Female,079,0016600,Virginia
Female,055,0025000,California
Female,019,0010500,North Carolina
Female,062,0043100,New York
Female,012,9999999,West Virginia
Female,052,0058000,Michigan
Male,078,0011000,South Carolina
Male,090,0171000,Ohio
Male,064,0021500,Missouri
Male,001,9999999,New Jersey
Male,019,0000000,New Jersey
Female,022,0005000,Kansas
Female,058,0024000,Pennsylvania
Male,035,0035110,Texas
Male,040,0036000,West Virginia
Male,027,0020000,Pennsylvania
Male,015,0000000,Ohio
Female,005,9999999,Colorado
Male,006,9999999,California
Male,054,0017200,Texas
Female,013,9999999,Texas
Male,005,9999999,Indiana
Male,030,0065000,North Carolina
Female,053,0000000,Michigan
Female,037,0016000,Indiana
Male,002,9999999,Utah
Male,070,0034500,Michigan
Male,036,0073000,California
Male,040,0020000,Florida
Female,044,0032700,Arizona
Male,068,0035900,Colorado
Female,073,0014100,Florida
Male,060,0000000,California
Female,001,9999999,California
Female,024,0001200,Idaho
Female,012,9999999,Texas
Male,045,0035000,Texas
Female,074,0012200,Texas
Female,057,0000000,Georgia
Male,023,0018000,Wisconsin
Male,073,0018000,Texas
Male,051,0046000,North Carolina
Male,013,9999999,Texas
Female,033,0030000,Washington
Male,037,0084000,Florida
Female,052,0014100,California
Male,009,9999999,New York
Male,017,0002500,Florida
Male,018,0001300,Massachusetts
Male,058,0163200,California
Male,062,0070000,Texas
Male,028,0021000,Indiana
Male,062,0260000,California
Female,065,0092000,Indiana
Female,072,0068400,Washington
Female,046,0043170,California
Female,043,0042000,Maryland
Female,031,0030800,Connecticut
Male,025,0000400,Pennsylvania
Male,058,0433000,South Carolina
Female,047,0003000,Tennessee
Male,014,9999999,Ohio
Male,013,9999999,New Jersey
Female,020,0010000,Tennessee
Male,022,0002000,Texas
Male,025,0018000,North Carolina
Female,070,0011200,Vermont
Male,013,9999999,New Jersey
Female,047,0030000,California
Male,015,0000100,Virginia
Female,062,0019800,Georgia
Female,040,0009000,Pennsylvania
Female,070,0010800,Oregon
Male,012,9999999,Ohio
Female,013,9999999,Indiana
Female,067,0021180,Texas
Female,009,9999999,Arkansas
Male,014,9999999,New York
Male,025,0026000,North Carolina
Female,021,0004000,Tennessee
Female,005,9999999,Georgia
Female,053,0000000,Alabama
Male,027,0100000,New York
Female,054,0009100,New York
Male,021,0020000,California
Female,047,0065000,New Jersey
Male,030,0045000,Florida
Male,003,9999999,Pennsylvania
Male,012,9999999,North Dakota
Female,071,0024100,Florida
Female,076,0005500,Illinois
Male,024,0027000,Oklahoma
Male,065,0079000,Florida
Female,075,0015400,Virginia
Male,068,0009100,Texas
Female,014,9999999,Missouri
Female,021,0005400,California
Female,060,0009000,Pennsylvania
Female,009,9999999,Illinois
Female,072,0112400,New Hampshire
Male,027,0041000,Iowa
Female,057,0000000,Georgia
Female,059,0058000,California
Female,036,0015600,Rhode Island
Female,071,0036800,New York
Male,064,0040000,Utah
Female,046,0160000,Texas
Female,041,0000000,Nevada
Male,057,0046040,Arizona
Male,009,9999999,Tennessee
Female,037,0045000,Illinois
Female,049,0005000,California
Male,078,0090000,Illinois
Female,032,0000000,Louisiana
Male,025,0000000,California
Female,088,0022000,Washington
