event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:dop,height-raw,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,study-timezone,study-local-timestamp
9710301116,true,2013-12-19 00:00:44.000,-111.084816,56.684654,-7.0,2.0,"373.81","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-18 17:00:44.000
9710301117,true,2013-12-19 12:00:44.000,-111.104547,56.679944,-20.0,3.6,"292.55","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-19 05:00:44.000
9710301118,true,2013-12-20 00:01:33.000,-111.1058,56.679703,-9.0,3.2,"243.2","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-19 17:01:33.000
9710301119,true,2013-12-20 12:00:44.000,-111.103983,56.680039,-22.0,1.8,"299.95","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-20 05:00:44.000
9710301120,true,2013-12-21 00:02:36.000,-111.083698,56.709789,-17.0,2.6,"401.48","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-20 17:02:36.000
9710301121,true,2013-12-21 12:00:44.000,-111.177703,56.690579,-8.0,1.6,"359.05","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-21 05:00:44.000
9710301122,true,2013-12-22 12:01:09.000,-111.105467,56.679542,-23.0,2.4,"271.76","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-22 05:01:09.000
9710301123,true,2013-12-23 00:01:42.000,-111.086288,56.675962,-13.0,10.2,"256.23","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-22 17:01:42.000
9710301124,true,2013-12-23 12:00:38.000,-111.105377,56.669395,-1.0,1.6,"227.24","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-23 05:00:38.000
9710301125,true,2013-12-24 00:01:15.000,-111.125745,56.688149,3.0,3.2,"378.91","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-23 17:01:15.000
9710301126,true,2013-12-24 12:00:45.000,-111.268616,56.681351,-3.0,2.0,"235.03","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-24 05:00:45.000
9710301127,true,2013-12-25 00:00:46.000,-111.270278,56.681537,1.0,1.6,"221.45","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-24 17:00:46.000
9710301128,true,2013-12-26 00:01:09.000,-111.169511,56.671873,0.0,2.2,"225.29","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-25 17:01:09.000
9710301129,true,2013-12-26 12:00:44.000,-111.115417,56.664118,3.0,3.0,"261.83","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-26 05:00:44.000
9710301130,true,2013-12-27 00:01:08.000,-111.113632,56.660652,2.0,3.6,"312.2","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-26 17:01:08.000
9710301131,true,2013-12-27 12:01:44.000,-111.12725,56.670859,-3.0,4.8,"227.71","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-27 05:01:44.000
9710301132,true,2013-12-28 00:01:08.000,-111.252616,56.685698,0.0,1.8,"237.63","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-27 17:01:08.000
9710301133,true,2013-12-29 00:00:43.000,-111.169259,56.679428,-18.0,1.6,"236.98","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-28 17:00:43.000
9710301134,true,2013-12-29 12:00:43.000,-111.158295,56.678464,-23.0,2.4,"228.58","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-29 05:00:43.000
9710301135,true,2013-12-30 00:00:43.000,-111.068858,56.677813,-10.0,1.6,"362.45","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-29 17:00:43.000
9710301136,true,2013-12-30 12:00:43.000,-111.073408,56.676429,-17.0,4.6,"339.29","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-30 05:00:43.000
9710301137,true,2013-12-31 12:00:43.000,-111.178425,56.69981,-12.0,1.6,"384.78","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-31 05:00:43.000
9710301138,true,2014-01-01 00:00:43.000,-111.134966,56.676742,-17.0,3.6,"218.21","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2013-12-31 17:00:43.000
9710301139,true,2014-01-01 12:00:43.000,-111.082067,56.685888,-10.0,2.0,"386.46","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2014-01-01 05:00:43.000
9710301140,true,2014-01-02 00:00:43.000,-111.057317,56.692718,-17.0,1.6,"405.89","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2014-01-01 17:00:43.000
9710301141,true,2014-01-04 09:31:44.000,-111.128502,56.679442,-7.0,1.6,"228.83","gps","Canis lupus","13793","13793","ABoVE: Boutin Alberta Grey Wolf","Mountain Standard Time",2014-01-04 02:31:44.000
